temperature_2m_mean (°F),time
42.5,2023-02-13
37.6,2023-02-14
34.3,2023-02-15
40,2023-02-16
47.2,2023-02-17
43.6,2023-02-18
39.2,2023-02-19
44.8,2023-02-20
47.3,2023-02-21
44.2,2023-02-22
44.4,2023-02-23
37.7,2023-02-24
34.6,2023-02-25
31.9,2023-02-26
32.4,2023-02-27
32.5,2023-02-28
32,2023-03-01
32.3,2023-03-02
32.3,2023-03-03
38,2023-03-04
34.6,2023-03-05
33.5,2023-03-06
34.7,2023-03-07
33.6,2023-03-08
33.6,2023-03-09
37.9,2023-03-10
34.2,2023-03-11
36.3,2023-03-12
50.9,2023-03-13
47.8,2023-03-14
36.4,2023-03-15
38.1,2023-03-16
45.4,2023-03-17
50.5,2023-03-18
49.5,2023-03-19
48.1,2023-03-20
47.9,2023-03-21
52.8,2023-03-22
53.2,2023-03-23
53.1,2023-03-24
48.2,2023-03-25
45.9,2023-03-26
38.2,2023-03-27
36.9,2023-03-28
43.1,2023-03-29
51.5,2023-03-30
49.6,2023-03-31
44.6,2023-04-01
39.1,2023-04-02
35.1,2023-04-03
34.5,2023-04-04
35.8,2023-04-05
39.5,2023-04-06
38.3,2023-04-07
45.2,2023-04-08
43.2,2023-04-09
49.1,2023-04-10
47.7,2023-04-11
46.8,2023-04-12
48.3,2023-04-13
45.7,2023-04-14
49.1,2023-04-15
48.3,2023-04-16
45.4,2023-04-17
46.5,2023-04-18
44,2023-04-19
49.1,2023-04-20
55.5,2023-04-21
57.2,2023-04-22
55.4,2023-04-23
53.7,2023-04-24
46.3,2023-04-25
43.4,2023-04-26
43.4,2023-04-27
50,2023-04-28
51.8,2023-04-29
46.7,2023-04-30
51.7,2023-05-01
50.9,2023-05-02
49.4,2023-05-03
52.7,2023-05-04
56.4,2023-05-05
48.6,2023-05-06
51,2023-05-07
52,2023-05-08
55.3,2023-05-09
59.5,2023-05-10
61.1,2023-05-11
62.3,2023-05-12
60.7,2023-05-13
59.9,2023-05-14
58.6,2023-05-15
54.1,2023-05-16
50.3,2023-05-17
51.5,2023-05-18
56.1,2023-05-19
59,2023-05-20
68.5,2023-05-21
68.7,2023-05-22
60.5,2023-05-23
53.7,2023-05-24
57.9,2023-05-25
56.1,2023-05-26
57.1,2023-05-27
61.6,2023-05-28
60.8,2023-05-29
60.2,2023-05-30
63.2,2023-05-31
62,2023-06-01
57.8,2023-06-02
57.7,2023-06-03
61.6,2023-06-04
66.9,2023-06-05
67.5,2023-06-06
71.9,2023-06-07
73.3,2023-06-08
71.7,2023-06-09
72.6,2023-06-10
70.8,2023-06-11
69.7,2023-06-12
65.1,2023-06-13
65.4,2023-06-14
65,2023-06-15
59.7,2023-06-16
62.2,2023-06-17
66.8,2023-06-18
70.1,2023-06-19
69.9,2023-06-20
73.7,2023-06-21
73.4,2023-06-22
64.1,2023-06-23
66.7,2023-06-24
71,2023-06-25
72.2,2023-06-26
62.7,2023-06-27
64,2023-06-28
67.6,2023-06-29
66.7,2023-06-30
67.7,2023-07-01
64.9,2023-07-02
64.2,2023-07-03
65.1,2023-07-04
66,2023-07-05
64.6,2023-07-06
68.8,2023-07-07
74.3,2023-07-08
77.5,2023-07-09
74.7,2023-07-10
75,2023-07-11
75.9,2023-07-12
69.4,2023-07-13
69.7,2023-07-14
80.4,2023-07-15
75.2,2023-07-16
70.7,2023-07-17
67.1,2023-07-18
67.8,2023-07-19
63.8,2023-07-20
62.8,2023-07-21
63.9,2023-07-22
69.6,2023-07-23
69.6,2023-07-24
64.9,2023-07-25
61.3,2023-07-26
61.4,2023-07-27
66.3,2023-07-28
66.4,2023-07-29
66,2023-07-30
63.6,2023-07-31
64.6,2023-08-01
65.8,2023-08-02
67.4,2023-08-03
65.1,2023-08-04
64.2,2023-08-05
60.6,2023-08-06
60.6,2023-08-07
59.9,2023-08-08
60,2023-08-09
60.6,2023-08-10
65.6,2023-08-11
70.6,2023-08-12
70.2,2023-08-13
73,2023-08-14
75.8,2023-08-15
72.6,2023-08-16
70.5,2023-08-17
73.6,2023-08-18
77,2023-08-19
75.5,2023-08-20
72.9,2023-08-21
70.6,2023-08-22
70,2023-08-23
73,2023-08-24
74,2023-08-25
69.6,2023-08-26
63.4,2023-08-27
61.8,2023-08-28
59.2,2023-08-29
61.2,2023-08-30
58.9,2023-08-31
60.6,2023-09-01
62.4,2023-09-02
62.4,2023-09-03
64.6,2023-09-04
69,2023-09-05
69.9,2023-09-06
71.3,2023-09-07
71.7,2023-09-08
72.2,2023-09-09
71.9,2023-09-10
72.9,2023-09-11
72.1,2023-09-12
67.3,2023-09-13
61.2,2023-09-14
63.2,2023-09-15
66.1,2023-09-16
68.8,2023-09-17
71,2023-09-18
65,2023-09-19
67,2023-09-20
69.8,2023-09-21
63.2,2023-09-22
59,2023-09-23
58,2023-09-24
59.7,2023-09-25
64.4,2023-09-26
66.3,2023-09-27
67.6,2023-09-28
65.4,2023-09-29
59.9,2023-09-30
61.3,2023-10-01
65.3,2023-10-02
63.8,2023-10-03
58.1,2023-10-04
56.8,2023-10-05
58.6,2023-10-06
60.2,2023-10-07
53.6,2023-10-08
51.2,2023-10-09
57.6,2023-10-10
65.3,2023-10-11
58.8,2023-10-12
63.1,2023-10-13
57.7,2023-10-14
47.2,2023-10-15
44.2,2023-10-16
43.3,2023-10-17
42.9,2023-10-18
44.9,2023-10-19
43.1,2023-10-20
51.2,2023-10-21
54.8,2023-10-22
52.2,2023-10-23
53,2023-10-24
51.1,2023-10-25
49.7,2023-10-26
49.1,2023-10-27
49.5,2023-10-28
54,2023-10-29
55.1,2023-10-30
51.9,2023-10-31
50.5,2023-11-01
52.3,2023-11-02
49.2,2023-11-03
47.9,2023-11-04
49.7,2023-11-05
50.6,2023-11-06
48.2,2023-11-07
46.1,2023-11-08
48.7,2023-11-09
46.1,2023-11-10
42.1,2023-11-11
41.9,2023-11-12
42.3,2023-11-13
51.1,2023-11-14
45.6,2023-11-15
42.9,2023-11-16
39.3,2023-11-17
39,2023-11-18
45.8,2023-11-19
48.7,2023-11-20
37.7,2023-11-21
30.1,2023-11-22
46.2,2023-11-23
38.3,2023-11-24
33.6,2023-11-25
29.3,2023-11-26
31.8,2023-11-27
28.7,2023-11-28
30.6,2023-11-29
23.6,2023-11-30
22.2,2023-12-01
26.1,2023-12-02
26.8,2023-12-03
26.8,2023-12-04
29.4,2023-12-05
32.2,2023-12-06
32.3,2023-12-07
32.7,2023-12-08
36.1,2023-12-09
40.9,2023-12-10
44.7,2023-12-11
41.4,2023-12-12
39.5,2023-12-13
36.8,2023-12-14
37.5,2023-12-15
44.2,2023-12-16
46.2,2023-12-17
43.2,2023-12-18
44.5,2023-12-19
41.5,2023-12-20
44.1,2023-12-21
37.1,2023-12-22
35.5,2023-12-23
45.1,2023-12-24
48.6,2023-12-25
46.5,2023-12-26
38.8,2023-12-27
46.5,2023-12-28
48,2023-12-29
42.7,2023-12-30
41.9,2023-12-31
41.4,2024-01-01
40.5,2024-01-02
47.8,2024-01-03
38.3,2024-01-04
32.9,2024-01-05
31,2024-01-06
26.3,2024-01-07
19.6,2024-01-08
17.9,2024-01-09
20.2,2024-01-10
27.7,2024-01-11
31.1,2024-01-12
35,2024-01-13
35.1,2024-01-14
33,2024-01-15
30.1,2024-01-16
27.5,2024-01-17
26.9,2024-01-18
30,2024-01-19
32.9,2024-01-20
30.8,2024-01-21
42.4,2024-01-22
40.2,2024-01-23
46.7,2024-01-24
43.6,2024-01-25
41.3,2024-01-26
39.3,2024-01-27
34.7,2024-01-28
37.6,2024-01-29
40.2,2024-01-30
40.9,2024-01-31
42.5,2024-02-01
42.5,2024-02-02
48.2,2024-02-03
44.5,2024-02-04
48.2,2024-02-05
48.6,2024-02-06
39.3,2024-02-07
34,2024-02-08
39.8,2024-02-09
47.5,2024-02-10
45.1,2024-02-11
43.8,2024-02-12
40.3,2024-02-13
43.3,2024-02-14
51.3,2024-02-15
52.7,2024-02-16
47.3,2024-02-17
43.1,2024-02-18
45.6,2024-02-19
45.2,2024-02-20
46.6,2024-02-21
49.5,2024-02-22
45.4,2024-02-23
41.3,2024-02-24
40.5,2024-02-25
41,2024-02-26
40.9,2024-02-27
37.5,2024-02-28
39.1,2024-02-29
44.6,2024-03-01
47,2024-03-02
49.4,2024-03-03
48.4,2024-03-04
40.3,2024-03-05
38.7,2024-03-06
38.7,2024-03-07
36.7,2024-03-08
40.2,2024-03-09
46.6,2024-03-10
48.8,2024-03-11
46.7,2024-03-12
46.6,2024-03-13
51.3,2024-03-14
52.6,2024-03-15
48.1,2024-03-16
40.5,2024-03-17
34.6,2024-03-18
37.8,2024-03-19
47.3,2024-03-20
50.4,2024-03-21
49.5,2024-03-22
42.8,2024-03-23
39.8,2024-03-24
41.9,2024-03-25
44.7,2024-03-26
51.8,2024-03-27
48.8,2024-03-28
49.4,2024-03-29
57.6,2024-03-30
55.2,2024-03-31
55.2,2024-04-01
51.2,2024-04-02
49.3,2024-04-03
52.1,2024-04-04
57.1,2024-04-05
61.2,2024-04-06
63.8,2024-04-07
65,2024-04-08
63.4,2024-04-09
52.4,2024-04-10
52.8,2024-04-11
59.3,2024-04-12
62.1,2024-04-13
57,2024-04-14
50.1,2024-04-15
43.8,2024-04-16
42.8,2024-04-17
43.2,2024-04-18
42.7,2024-04-19
41.3,2024-04-20
38.3,2024-04-21
35.9,2024-04-22
40,2024-04-23
42.4,2024-04-24
41.2,2024-04-25
46.7,2024-04-26
54,2024-04-27
60.7,2024-04-28
59.7,2024-04-29
66.1,2024-04-30
67.4,2024-05-01
67.1,2024-05-02
63.8,2024-05-03
59.9,2024-05-04
59.1,2024-05-05
56.3,2024-05-06
53.2,2024-05-07
54.2,2024-05-08
55.3,2024-05-09
60.4,2024-05-10
58.8,2024-05-11
58.7,2024-05-12
62.1,2024-05-13
65.4,2024-05-14
68.1,2024-05-15
68.2,2024-05-16
66.8,2024-05-17
61.5,2024-05-18
60.6,2024-05-19
60.5,2024-05-20
68.6,2024-05-21
66.7,2024-05-22
64.3,2024-05-23
65.3,2024-05-24
65.7,2024-05-25
65.5,2024-05-26
65.5,2024-05-27
59.8,2024-05-28
61.9,2024-05-29
62.4,2024-05-30
63.7,2024-05-31
68.2,2024-06-01
65.8,2024-06-02
59.1,2024-06-03
61.2,2024-06-04
61.7,2024-06-05
60.1,2024-06-06
60.6,2024-06-07
63.7,2024-06-08
59.4,2024-06-09
58.2,2024-06-10
56,2024-06-11
56.1,2024-06-12
56,2024-06-13
58.9,2024-06-14
62.4,2024-06-15
64.2,2024-06-16
66.7,2024-06-17
67.6,2024-06-18
61.4,2024-06-19
63.1,2024-06-20
69.5,2024-06-21
65.8,2024-06-22
64.7,2024-06-23
65.9,2024-06-24
69,2024-06-25
74.6,2024-06-26
75.5,2024-06-27
73.1,2024-06-28
72.9,2024-06-29
72.4,2024-06-30
63.4,2024-07-01
59.5,2024-07-02
59.1,2024-07-03
60.1,2024-07-04
61.5,2024-07-05
71.6,2024-07-06
65.2,2024-07-07
68.8,2024-07-08
76.6,2024-07-09
77.7,2024-07-10
71.6,2024-07-11
70.9,2024-07-12
65.1,2024-07-13
67.1,2024-07-14
73.6,2024-07-15
72.6,2024-07-16
68.2,2024-07-17
69.3,2024-07-18
73.7,2024-07-19
76.6,2024-07-20
78.6,2024-07-21
70.8,2024-07-22
69.6,2024-07-23
67.1,2024-07-24
65.1,2024-07-25
68.8,2024-07-26
68.6,2024-07-27
65.7,2024-07-28
64.3,2024-07-29
67.9,2024-07-30
72.6,2024-07-31
71.4,2024-08-01
66.1,2024-08-02
67.7,2024-08-03
66.9,2024-08-04
65.4,2024-08-05
67.8,2024-08-06
72.9,2024-08-07
68.4,2024-08-08
67.9,2024-08-09
69.1,2024-08-10
69.2,2024-08-11
68.8,2024-08-12
73.5,2024-08-13
78,2024-08-14
74.4,2024-08-15
74.6,2024-08-16
73.8,2024-08-17
69.1,2024-08-18
66.9,2024-08-19
70.2,2024-08-20
67.4,2024-08-21
66.8,2024-08-22
73.9,2024-08-23
78,2024-08-24
69.7,2024-08-25
68.5,2024-08-26
68.7,2024-08-27
74.6,2024-08-28
81.5,2024-08-29
72.7,2024-08-30
66.3,2024-08-31
66.5,2024-09-01
68.4,2024-09-02
76.8,2024-09-03
80.3,2024-09-04
78.4,2024-09-05
75.6,2024-09-06
75.8,2024-09-07
78.7,2024-09-08
65.2,2024-09-09
61.9,2024-09-10
58.4,2024-09-11
53.5,2024-09-12
52.9,2024-09-13
56.7,2024-09-14
56.9,2024-09-15
59.7,2024-09-16
65.4,2024-09-17
66.3,2024-09-18
65.2,2024-09-19
63.1,2024-09-20
61.6,2024-09-21
62,2024-09-22
62.8,2024-09-23
58.3,2024-09-24
59.2,2024-09-25
61.9,2024-09-26
60.8,2024-09-27
53.8,2024-09-28
49.3,2024-09-29
50.8,2024-09-30
50.6,2024-10-01
49.5,2024-10-02
52,2024-10-03
52.4,2024-10-04
51.7,2024-10-05
48.7,2024-10-06
52.2,2024-10-07
59.8,2024-10-08
61.2,2024-10-09
58.9,2024-10-10
47.8,2024-10-11
47.8,2024-10-12
50.5,2024-10-13
48.5,2024-10-14
46.3,2024-10-15
48.5,2024-10-16
53.6,2024-10-17
55,2024-10-18
56.9,2024-10-19
55.7,2024-10-20
59.9,2024-10-21
54.9,2024-10-22
50,2024-10-23
48.3,2024-10-24
52.3,2024-10-25
51.5,2024-10-26
52.8,2024-10-27
